name,x,y,norm,distinct
blast2go,-43.39288,46.895046,10.04987562112089,101
blat,12.588387,33.002384,30.298514815086232,343
blaze,-24.77749,-25.47108,4.898979485566356,24
blitz,-19.443169,-8.128274,15.652475842498529,53
blt,-15.924012,-33.829082,29.068883707497267,26
bolt,0.53207445,-55.47587,195.41238445912276,338
boost,41.477295,22.550991,122.57650672131263,1333
bowtie,12.608801,31.696886,28.5657137141714,314
bowtie2,5.284833,47.17095,32.984845004941285,432
bpmf,-36.260612,-0.63174635,3.0,1
bpmf-ompss,-36.583565,-0.42123252,2.449489742783178,1
braker,-43.39288,46.895046,10.04987562112089,101
branson,-15.518748,31.865278,11.832159566199232,70
bricks,-5.8852797,-45.639637,97.87236586493657,178
brigand,-24.77749,-25.47108,4.898979485566356,24
bufr,-0.04402071,-0.0477153,29.58039891549808,172
butterflypack,-4.254269,-52.15842,142.23571984561403,302
bwa,3.1841295,47.930386,34.36568055487916,449
bwtool,-43.39288,46.895046,10.04987562112089,101
bzip2,41.77893,18.980072,109.64944140304591,1131
bzip2-toolfile,10.961711,-22.69277,13.416407864998739,109
c-blosc,0.5275689,11.607151,71.33021800050803,209
ca-certificates-mozilla,-18.960133,0.07522989,7.615773105863909,29
cabana,-6.028437,-53.88453,192.62139029713185,303
caffe,-1.597237,54.886234,13.038404810405298,170
cairo,7.6258087,53.077496,29.068883707497267,389
caliper,1.7521963,-56.808838,201.26599315333925,378
camp,-7.9462576,17.92112,44.799553569204235,206
canu,13.389501,31.599428,28.5657137141714,314
cap3,-43.39288,46.895046,10.04987562112089,101
cardioid,-33.213203,0.86528134,1.4142135623730951,2
casacore,-16.893822,-17.758766,13.228756555322953,59
cascade,37.65921,-41.541866,23.280893453645632,541
castep,-1.1440467,53.932983,13.038404810405298,170
catalyst,-4.724375,-10.32881,44.40720662234904,179
catch2,38.291534,-3.6817439,40.65710270051225,710
cbench,-15.275719,29.899687,11.832159566199232,70
ccache,-16.901709,18.612095,66.50563885867122,347
cce,-43.60559,-11.212567,3.872983346207417,15
cdo,-22.949976,18.864836,59.08468498688979,388
cepcsw,-43.397488,-4.9377027,4.358898943540674,4
cereal,-25.436409,-16.856026,8.366600265340756,35
cfitsio,-26.490238,9.570898,14.52583904633395,78
cgal,-4.2510543,54.93853,32.38826948140329,216
cgdb,-41.997562,4.956224,4.898979485566356,12
cgm,-14.736787,31.098595,11.832159566199232,70
chai,-0.19628213,-52.891766,204.57272545478784,351
chapel,-7.9435334,22.448826,34.0,165
charliecloud,6.7889113,9.537813,142.52368224263643,299
charm,-19.742756,-26.722193,15.491933384829668,44
charmpp,-20.18527,-26.46737,16.24807680927192,62
charybdis,37.65921,-41.541866,23.280893453645632,541
chatterbug,-16.17904,32.03045,11.832159566199232,70
chfs,-24.13478,-0.01888843,5.656854249492381,16
chgcentre,-44.814194,1.5857623,6.928203230275509,24
chibi,-34.319553,-0.6561678,1.0,1
chip-spv,-40.31431,7.9474463,3.1622776601683795,9
chipmunk2d,-32.92976,-3.044983,2.6457513110645907,2
cistem,-23.702621,-20.314726,5.385164807134504,28
classlib,57.632404,-7.6133633,34.45286635390443,655
clhep,35.165756,-2.5373552,42.80186911806539,719
cli11,-27.19985,-40.275646,8.18535277187245,67
clingo,-10.886105,-7.7949114,6.0,34
clingo-bootstrap,-19.995605,0.016985163,10.392304845413264,32
cln,-26.676327,-9.36506,3.7416573867739413,14
cloverleaf,-15.807116,32.931168,11.832159566199232,70
clustal-omega,-43.39288,46.895046,10.04987562112089,101
clustalw,-42.7073,44.502804,10.04987562112089,101
cmake,42.90839,22.095718,147.14618581533128,1536
cmake:,-29.911407,-2.736756,3.0,8
cmb,-35.455917,-0.9149547,1.0,1
cmor,-26.809668,17.384499,14.491376746189438,95
cms-common,40.345505,-50.954906,25.39685019840059,644
cms-config,37.40854,8.469567,40.36087214122113,689
cms-git-tools,56.989758,-0.1898261,34.45286635390443,655
cmsdist,57.11416,-5.491099,34.45286635390443,655
cmslhetoeosmanager,60.604935,-2.1286795,34.45286635390443,655
cmsmon-tools,55.296623,-3.042745,34.45286635390443,655
cmssw,57.138103,-2.4658763,34.45286635390443,655
cmssw-config,53.995052,-11.243425,18.24828759089466,333
cmssw-osenv,56.242126,-2.6904263,34.45286635390443,655
cmssw-tool-conf,58.882057,-3.1826382,34.45286635390443,655
cmssw-wm-tools,60.604935,-2.1286795,34.45286635390443,655
cmsswdata,58.05386,-1.2923661,34.45286635390443,655
cnpy,-24.918919,-17.148724,14.177446878757825,97
coinhsl,-31.000277,-12.92441,7.615773105863909,22
comd,-16.629826,30.217642,11.832159566199232,70
comgr,7.479703,-30.016397,89.98888820293314,218
component-name[,-35.71809,0.702864,1.7320508075688772,1
compss,-37.977962,-2.3648796,2.0,3
conduit,0.7418317,-51.093723,195.27672672389815,390
coral,22.42682,2.5064383,38.98717737923585,660
coral-tool-conf,58.314095,0.21309182,34.45286635390443,655
coreutils,32.51638,16.189552,50.16971197844373,820
corset,-43.39288,46.895046,10.04987562112089,101
cosp2,-14.956653,32.89167,11.832159566199232,70
cowsay,-34.588787,2.9273248,2.449489742783178,2
cp2k,-3.300398,24.55314,24.657656011875904,327
cpio,-3.0669014,16.894253,37.89459064299283,269
cpmd,0.5021736,56.008606,14.560219778561036,179
cppcheck,-25.956528,3.1072037,15.132745950421556,34
cppcoro,-27.316477,-40.609627,8.18535277187245,67
cppgsl,-17.349312,-32.23064,10.63014581273465,43
cppunit,35.498093,5.329907,43.58898943540674,728
cppzmq,-28.889315,-22.523325,10.488088481701515,44
cpu-features,39.355145,-47.994625,25.39685019840059,644
crab,55.066456,-4.2724824,34.45286635390443,655
crab-dev,55.944576,-6.1191115,34.45286635390443,655
crab-pre,57.11416,-5.491099,34.45286635390443,655
crab-prod,55.552025,-1.8885609,34.45286635390443,655
cray-fftw,-8.820551,26.231304,28.6705423736629,170
cray-libsci,-1.1285547,8.658687,74.08103670980854,352
cray-mpich,-1.368192,8.581702,94.04254356406997,375
cray-pmi,-5.850914,23.988548,17.86057109949175,139
criterion-git,-27.731321,-7.82619,2.23606797749979,5
cromwell,-19.948112,28.618437,9.591663046625438,43
crtm,-0.55386525,0.54493153,40.33608806019741,180
crystal17,-0.27954525,53.746094,13.038404810405298,170
crystfel,-39.970264,-5.092018,2.6457513110645907,7
csctrackfinderemulation,58.314095,0.21309182,34.45286635390443,655
ctffind,-23.8833,-20.623981,5.385164807134504,28
cub,-5.9325337,24.05973,22.40535650240808,155
cube,-7.6525517,19.410952,35.298725189445584,165
cubelib,-18.76138,9.568225,15.874507866387544,117
cubew,-16.567783,8.007306,12.24744871391589,75
cuda,43.321712,21.387419,150.45929682143273,1211
cuda-compatible-runtime,59.553104,-1.2407613,34.45286635390443,655
cudnn,29.393879,17.650902,51.51698748956503,1014
cufflinks,-35.033493,-31.333593,11.958260743101398,142
cufinufft,-17.588007,-17.141289,7.3484692283495345,34
cupla,37.65921,-41.541866,23.280893453645632,541
curl,40.964172,18.72629,100.67770358922576,1068
cusz,-6.50345,19.893358,16.61324772583615,111
cvs,-12.17676,-6.1027794,6.6332495807108,44
cxxopts,-6.491513,-6.4580956,16.0,64
czmq,-26.39841,-6.123001,7.483314773547883,14
dablooms,57.260323,1.1525931,34.45286635390443,655
damaris,-14.096614,-5.9596043,8.0,56
darshan-runtime,0.18634877,-53.52637,206.50665848829186,357
darshan-util,0.06781504,-54.493675,191.26160095534075,357
das-client,56.989758,-0.1898261,34.45286635390443,655
dasgoclient,58.05386,-1.2923661,34.45286635390443,655
data-alignment-offlinevalidation,40.345505,-50.954906,25.39685019840059,644
data-calibcalorimetry-calomiscalibtools,40.345505,-50.954906,25.39685019840059,644
data-calibcalorimetry-ecaltrivialcondmodules,36.84305,-51.078682,25.39685019840059,644
data-calibpps-esproducers,40.345505,-50.954906,25.39685019840059,644
data-calibration-tools,40.345505,-50.954906,25.39685019840059,644
data-calibtracker-sipixelesproducers,40.345505,-50.954906,25.39685019840059,644
data-calibtracker-sistripdcs,40.345505,-50.954906,25.39685019840059,644
data-condformats-jetmetobjects,40.345505,-50.954906,25.39685019840059,644
data-condtools-siphase2tracker,40.345505,-50.954906,25.39685019840059,644
data-condtools-sistrip,40.345505,-50.954906,25.39685019840059,644
data-configuration-generator,40.345505,-50.954906,25.39685019840059,644
data-dataformats-patcandidates,40.345505,-50.954906,25.39685019840059,644
data-detectordescription-schema,40.345505,-50.954906,25.39685019840059,644
data-dqm-dtmonitorclient,37.645443,-49.49833,25.39685019840059,644
