,..,2decomp,^pmix,abinit,abseil-cpp,accfft,ack,acts,adios,adios2,afterburner,ahf-gizmo,alien,all:,allinea-forge,allinea-reports,almabte,alpaka,alpgen,alquimia,aluminum,amber,amdblis,amdfftw,amdlibflame,amdlibm,amdscalapack,amgx,aml,amr-wind,amrex,amrvis,anaconda3,angsd,antlr,aocc,aocl-sparse,apollo,apple-libunwind,apr,apr-util,arborx,arcane,archer,argobots,argtable3,aria2,armadillo,arpack-ng,arrow,ascent,aspect,assimp,athena-eic,athena-ip6,atlas,atompaw,autoconf,autodiff,autogen,automake,autpconf,awscli,axel,axom,bacio,bamtools,bartender,bash,bat,bayescan,bayestraits,bazel,bc,bear,benchmark,berkeley-db,berkeleygw,berkely-db,bgc,binutils,binutils:,bismark,bison,blas:,blaspp,blast-plus,blat,blaze,blt,bolt,boost,bowtie,bowtie2,bpmf,bpmf-ompss,bricks,brigand,bufr,butterflypack,bwa,bzip2,bzip2-toolfile,c-blosc,ca-certificates-mozilla,cabana,cairo,caliper,camp,canu,cardioid,casacore,catalyst,catch2,ccache,cce,cdo,cepcsw,cereal,cfitsio,chai,chapel,charliecloud,charm,charmpp,chfs,chgcentre,chipmunk2d,clhep,clingo,clingo-bootstrap,cln,cmake,cmake:,cmb,cms-config,cmssw-config,cnpy,comgr,component-name[,compss,conduit,coral,coreutils,cp2k,cpio,cpmd,cppcheck,cppgsl,cppunit,cppzmq,cray-fftw,cray-libsci,cray-mpich,criterion-git,crtm,crystfel,cub,cube,cubelib,cubew,cuda,cudnn,cufflinks,curl,cxxopts,czmq,darshan-runtime,darshan-util,datatransferkit,davix,davix-toolfile,db6-toolfile,dcap,dcap-toolfile,dd4hep,ddd,dealii,dftbplus,diffutils,diy,dlib,dmtcp,doctest,dotnet-core-sdk,doxygen,dpcpp,dray,dtcmp,dyninst,east,ecbuild,eccodes,eckit,ed,eic,eic-smear,eicd,eicroot,eigen,ejana,elfutils,elpa,emacs,env-model,environment-modules,enzo,enzyme,eqr,escalate,esmf,evtgen,exabayes,exago,examl,exaworks,exonerate,expat,expat-toolfile,express,exuberant-ctags,faodel,fastjet,fastqc,fastx-toolkit,fckit,feh,feq-parse,ffmpeg,ffte,fftw,fftw-api,fftw-api:,fftw3-toolfile,file,findutils,fio,fjcontrib,flang,flap,flatbuffers,flecsi,flex,flexiblas,flit,flowvr,fluka,flux-core,flux-sched,fms,fms-jcsda,fmt,fontconfig,form,fortrilinos,fpchecker,fpm,freebayes,freetype,freetype-toolfile,frontier-client,frontier-client-toolfile,ftgl,fujitsu-mpi,fv3-bundle-env,fzf,g2,g2c,g2tmpl,g4abla,g4e,g4emlow,g4ensdfstate,g4incl,g4ndl,g4particlexs,g4photonevaporation,g4radioactivedecay,g4realsurface,g4saiddata,gasnet,gatk,gaudi,gawk,gcc,gcc-compiler-toolfile,gdal,gdb,gdbm,gdk-pixbuf,gdrcopy,geant4,geant4-data,genfit,gengetopt,geopm,geopm^py-numpy,geos,gettext,gettext:,gfsio,gh,ghostscript,giflib,giflib-toolfile,ginkgo,git,git-lfs,gizmo,gizmo-deps,glib,globalarrays,globus-toolkit,glog,gmake,gmake-toolfile,gmap-gsnap,gmp,gmsh,gnupg,gnuplot,gnutls,go,go-bootstrap,gobject-introspection,googletest,gosam-contrib,gotcha,gperftools,gptune,grads,graphviz,grib-api,grib-util,grib_util,groff,gromacs,grpc,gsl,gsl-lite,gsl-toolfile,gtkplus,guile,gzip,h5bench,hal,hcoll,hdf,hdf5,healpix-cxx,heffte,help2man,hepmc,hepmc3,hepnos,hepnos-dataloader,herwig3,hiop,hip,hip-rocclr,hipace,hipblas,hipcub,hipfft,hipfort,hipify-clang,hipsparse,hisat2,hmmer,hpctoolkit,hpcviewer,hpl,hpx,hsa-rocr-dev,hsakmt-roct,htop,hwloc,hydrogen,hypre,icet,icu4c,igprof,imagemagick,intel,intel-mkl,intel-mpi,intel-oneapi-compilers,intel-oneapi-mkl,intel-oneapi-mpi,intel-oneapi-tbb,intel-parallel-studio,intel-tbb,ior,ip,ip2,isl,ispc,jana2,jansson,jasper,java,jedi-cmake,jedi-ewok-env,jedi-fv3-bundle-env,jedi-tools-env,jedi-ufs-bundle-env,jedi-um-bundle-env,jellyfish,jemalloc,jpeg,jq,json-c,json-fortran,jsoncpp,juggler,julia,kahip,kallisto,kassiopeia,key4hep-stack,knem,kokkos,kokkos-kernels,kratos,krb5,lammps,landsfcutil,lapack,lapack:,lapackpp,lbann,lcio,lcov,legion,leveldb,lhapdf,libaec,libarchive,libbsd,libcircle,libdistributed,libdwarf,libedit,libelf,libevent,libfabric,libffi,libfuse,libgcrypt,libgeotiff,libgpg-error,libiberty,libiconv,libint,libjpeg,libjpeg-turbo,libjpeg-turbo-toolfile,libmd,libmeshb,libnl,libnrm,libpciaccess,libpmemobj-cpp,libpng,libpng-toolfile,libpressio,libpressio-adios2,libpressio-opt,libpressio-tools,libpressio-tthresh,libquo,libsharp,libsigsegv,libszip,libtiff,libtiff-toolfile,libtirpc,libtomlc99,libtool,libtree,libunwind,libuuid,libx11,libxc,libxml2,libxml2-toolfile,libxp,libxpm,libxslt,libxsmm,libyaml,libz,libzmq,likwid,llvm,llvm-amdgpu,llvm-doe,llvm-openmp,lmdb,lmod,log4cxx,loki,lsf,lua,lua-sol2,lustre,lvarray,lz4,lzo,m4,madgraph5amc,magma,makedepend,masa,masurca,matio,matlab,maven,mcpp,memkind,mercurial,mercury,mesa,mesa-demos,mesa-glu,mesa18,meson,metall,metis,mfem,miniasm,miniconda2,miniconda3,minimap2,miniocli,miopen-hip,miopengemm,mochi-abt-io,mochi-bake,mochi-bedrock,mochi-ch-placement,mochi-colza,mochi-margo,mochi-mona,mochi-remi,mochi-sdskv,mochi-sonata,mochi-ssg,mochi-symbiomon,mochi-thallium,mochi-yokan,motif,mpark-variant,mpc,mpfr,mpi,mpich,mpifileutils,mpilander,mpip,mpt,mrnet,mt-metis,mumps,music,mvapich2,mypkg,nalu-wind,namd,nano,nasm,nccl,nccmp,ncdu,nceplibs-bundle,nceplibs-bundle-env,nceppost,ncl,nco,ncurses,ncview,nektar,nemsio,nemsiogfs,neovim,netcdf,netcdf-c,netcdf-cxx,netcdf-cxx4,netcdf-fortran,netlib-lapack,netlib-scalapack,nextflow,ngmlr,ngstools,ninja,nlohmann-json,nlopt,node-js,npdet,npm,nrm,nrm^python,numactl,nvhpc,nwchem,octave,omega-h,onnx-runtime,opari2,openbabel,openblas,opencascade,opencv,openfast,openfoam,openfoam-org,opengl,openjdk,openjpeg,openldap,openloops,openloops-process,openloops-toolfile,openmpi,openpmd-api,openspeedshop,openssh,openssl,openssl-toolfile,openturns,oracle-instant-client,oracleocci-abi-hack-cms,oracleocci-abi-hack-cms-toolfile,osu-micro-benchmarks,otf2,package1,package2,pacparser,pacparser-toolfile,paml,pango,papi,papyrus,paraconf,parallel,parallel-io,parallel-netcdf,parallelio,paraview,parmetis,parsec,patch,patchelf,pcre,pcre-toolfile,pcre2,pdi,pdiplugin-decl-hdf5,pdiplugin-decl-netcdf,pdiplugin-decl-sion,pdiplugin-flowvr,pdiplugin-fti,pdiplugin-mpi,pdiplugin-pycall,pdiplugin-serialize,pdiplugin-set-value,pdiplugin-trace,pdiplugin-user-code,pdsh,pdt,pear,percept,perl,petsc,pgi,pgplot,phast,phist,photos,photos-f,picard,pigz,pil,pilon,pixman,pkg-config,pkgconf,pkgconfig,plasma,plumed,pmdk,pmemkv,pmix,png,podio,povray,precice,prod-util,prod_util,professor,proj,protobuf,pruners-ninja,ps1,pspline,pumi,pwgui,py-absl-py,py-aiohttp,py-anyio,py-appdirs,py-argon2-cffi,py-argparse,py-ase,py-asn1crypto,py-astor,py-astroid,py-astropy,py-astunparse,py-async-lru,py-async-timeout,py-atomicwrites,py-attrs,py-autopep8,py-backcall,py-backports-entry-points-selectable,py-beautifulsoup4,py-beniget,py-biopython,py-black,py-bleach,py-bokeh,py-boto3,py-bottle,py-bottleneck,py-breathe,py-cachetools,py-cartopy,py-cclib,py-certifi,py-cfelpyutils,py-cffi,py-chardet,py-cinemasci,py-click,py-cloudpickle,py-clustershell,py-cmake-format,py-colorama,py-commonmark,py-configparser,py-contextvars,py-coverage,py-cppy,py-cycler,py-cython,py-dask,py-debugpy,py-decorator,py-defusedxml,py-deprecation,py-dislib,py-distlib,py-distro,py-docopt,py-docutils,py-dvc,py-einops,py-emcee,py-entrypoints,py-espresso,py-extra-data,py-extra-geom,py-fasteners,py-filelock,py-fiona,py-flake8,py-flit,py-flit-core,py-funcsigs,py-future,py-fuzzywuzzy,py-gast,py-geopandas,py-gitdb,py-gitpython,py-google-auth,py-google-auth-oauthlib,py-google-common,py-google-pasta,py-gosam,py-graphviz,py-grpcio,py-h5netcdf,py-h5py,py-hatchet,py-healpy,py-hepnos-wizard,py-horovod,py-html5lib,py-htseq,py-idna,py-immutables,py-importlib-metadata,py-importlib-resources,py-iniconfig,py-ipaddress,py-ipycanvas,py-ipykernel,py-ipyparallel,py-ipython,py-ipywidgets,py-isort,py-jedi,py-jinja2,py-joblib,py-jsonpickle,py-jsonschema,py-jupyter,py-jupyter-client,py-jupyter-core,py-jupyter-packaging,py-jupyter-server,py-jupyterhub,py-jupyterlab,py-jupyterlab-pygments,py-jupyterlab-server,py-karabo-bridge,py-keras,py-keras-applications,py-keras-preprocessing,py-keyring,py-kiwisolver,py-lazy-object-proxy,py-ldsc-git,py-libensemble,py-libensemble^python,py-line-profiler,py-llvmlite,py-lockfile,py-luigi,py-lxml,py-lz4,py-m,py-m2r,py-maestrowf,py-mako,py-markdown,py-markupsafe,py-matplotlib,py-matplotlib-inline,py-mccabe,py-mdanalysis,py-memory-profiler,py-merlin,py-mistune,py-mochi-bake,py-mochi-bedrock,py-mochi-margo,py-mochi-sonata,py-mochi-ssg,py-mochi-tmci,py-mock,py-moltemplate,py-mpi4py,py-mpld3,py-mpmath,py-multidict,py-multiqc,py-mypy,py-nbclient,py-nbconvert,py-nbmake,py-nbsphinx,py-nest-asyncio,py-netcdf4,py-networkx,py-nose,py-notebook,py-numba,py-numexpr,py-numpy,py-oauthlib,py-omegaconf,py-onnx,py-onnx-runtime,py-openpmd-viewer,py-openpyxl,py-opt-einsum,py-packaging,py-pandas,py-pathlib2,py-pbr,py-petsc4py,py-pexpect,py-phonopy,py-pickleshare,py-pillow,py-pip,py-pip^python,py-pkgconfig,py-plotly,py-ply,py-porechop,py-pre-commit,py-protobuf,py-psutil,py-ptyprocess,py-py,py-pyarrow,py-pyasn1,py-pyasn1-modules,py-pybind11,py-pycocotools,py-pycodestyle,py-pycparser,py-pycuda,py-pycurl,py-pydantic,py-pydocstyle,py-pydot,py-pyfits,py-pyflakes,py-pygithub,py-pygments,py-pylint,py-pymol,py-pymongo,py-pyopengl,py-pyparsing,py-pyproj,py-pyspark,py-pytest,py-pytest-cov,py-pytest-runner,py-python-daemon,py-python-dateutil,py-python-ldap,py-python-levenshtein,py-python-rapidjson,py-pythran,py-pytools,py-pytorch-lightning,py-pytorch-sphinx-theme,py-pytz,py-pyyaml,py-pyzmq,py-radiant-mlhub,py-rarfile,py-rasterio,py-recommonmark,py-repoze-lru,py-requests,py-requests-oauthlib,py-requests-toolbelt,py-requests-unixsocket,py-rich,py-rpy2,py-rsa,py-rtree,py-s3fs,py-scandir,py-scikit-build,py-scikit-image,py-scikit-learn,py-scikit-optimize,py-scipy,py-seaborn,py-segmentation-models-pytorch,py-selenium,py-send2trash,py-setuptools,py-setuptools-scm,py-setuptools^python,py-shapely,py-shroud,py-simplegeneric,py-six,py-sniffio,py-soupsieve,py-spdlog,py-sphinx,py-sphinx-rtd-theme,py-sphinxcontrib-bibtex,py-sphinxcontrib-programoutput,py-sqlalchemy,py-stevedore,py-subprocess32,py-sympy,py-tables,py-tenacity,py-tensorboard,py-tensorboard-dataserver,py-tensorboard-plugin-wit,py-tensorflow,py-termcolor,py-terminado,py-testpath,py-texttable,py-theano,py-threadpoolctl,py-toml,py-tomli,py-tomlkit,py-torch,py-torchmetrics,py-torchvision,py-tornado,py-tqdm,py-traitlets,py-typed-ast,py-typing-extensions,py-uncertainties,py-uproot,py-urllib3,py-virtualenv,py-virtualenv-clone,py-virtualenvwrapper,py-warpx,py-wcwidth,py-webencodings,py-websocket-client,py-werkzeug,py-wheel,py-widgetsnbextension,py-wrapt,py-xarray,py-xgboost,py-xlrd,py-yapf,py-yarl,py-yt,py-ytopt^python,py-zipp,pythia6,pythia8,python,python-toolfile,q-e-sirius,qbox,qcachegrind,qcat,qgraf,qhull,qmcpack,qqbar2mumu-2021,qrupdate,qt,qthreads,quantum-espresso,qwt,r,r-ape,r-argparse,r-bigmemory,r-biobase,r-biocmanager,r-caret,r-ctc,r-dendextend,r-deseq2,r-devtools,r-dexseq,r-dicekriging,r-doparallel,r-dygraphs,r-edger,r-fastcluster,r-glimma,r-gmodels,r-goplot,r-goseq,r-gplots,r-hdf5r,r-irkernel,r-janitor,r-jsonlite,r-lme4,r-mlr,r-mlrmbo,r-multtest,r-ncdf4,r-openxlsx,r-pacman,r-phangorn,r-phytools,r-quantmod,r-qvalue,r-randomforest,r-rbokeh,r-rcpp,r-rdpack,r-remotes,r-reticulate,r-rgenoud,r-rhdf5,r-rots,r-rpostgresql,r-rstan,r-sctransform,r-seurat,r-sm,r-splitstackshape,r-sqldf,r-tidyverse,r-tximport,r-tximportdata,r-vioplot,raja,range-v3,raylib,rccl,rclone,rdma-core,rdma-credentials,re2c,readline,reframe,relion,rempi,rivet,rlwrap,rmcprofile,rocalution,rocblas,rocfft,rocksdb,rocm-clang-ocl,rocm-cmake,rocm-dbgapi,rocm-debug-agent,rocm-device-libs,rocm-gdb,rocm-opencl,rocm-opencl-runtime,rocm-openmp-extras,rocm-smi,rocm-smi-lib,rocminfo,rocprim,rocprofiler-dev,rocrand,rocsolver,rocsparse,rocthrust,roctracer-dev,roctracer-dev-api,roms,root,root-toolfile,rpm,rsem,rsync,ruby,ruby-rake,rust,salmon,samrai,samtools,sbt,scons,scopes,scorep,scotch,scr,scram,screen,seacas,sed,sensei,sfcio,shengbte,sherpa,sigio,silo,singularity,sirius,slate,slatec,slepc,slurm,snappy,snpeff,soca-bundle-env,sombrero,sp,spark,sparse,sparskit,spdlog,spectral,spectrum-mpi,sperr,sqlite,sqlite-toolfile,squashfs,squashfuse,stacks,star,stat,stc,stow,strace,stream,strumpack,subread,subversion,suite-sparse,sundials,superlu,superlu-dist,superlu-mt,swfft,swig,sz,szip,tabix,tar,tasmanian,tau,tauola,tcl,tclap,tcsh,tetgen,texinfo,texlive,thepeg,tioga,tk,tkrzw,tmux,tree,trilinos,trimmomatic,trinity,tuning-playground,turbine,turbovnc,tut,ucx,udunits,ufs-bundle-env,ufs-weather-model-debug-env,ufs-weather-model-env,umap,umpire,unifyfs,unqlite,unzip,upcxx,upp,util-linux-uuid,util-macros,utility1,uuid,vagabond,valgrind,variorum,vasp,vcftools,veccore,vecgeom,vecmem,veloc,vesta,vgm,vim,visit,vmd,votca,vtk,vtk-h,vtk-m,w3emc,w3nco,wannier90,warpx,wcslib,wcstools,wget,wgrib2,works,wrf,wrf-io,wrf_io,wsclean,wxwidgets,xbraid,xedit,xerces-c,xgc1,xlc,xlf,xrootd,xrootd-toolfile,xsdk,xz,xz-toolfile,yaml-cpp,yarn,yoda,zeromq,zfp,zip,zlib,zlib-toolfile,zoltan,zsh,zstd,zstd-toolfile
..,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2decomp,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
