,..,acts,adios,adios2,ahf-gizmo,all:,allinea-forge,allinea-reports,almabte,aluminum,amgx,aml,amr-wind,amrex,amrvis,anaconda3,angsd,apollo,apple-libunwind,arborx,archer,argobots,armadillo,arpack-ng,arrow,ascent,aspect,assimp,autoconf,automake,autpconf,axom,bamtools,bartender,bash,bayescan,bayestraits,bc,berkeley-db,berkely-db,bgc,binutils,bismark,bison,blast-plus,blat,blt,bolt,boost,bowtie,bowtie2,butterflypack,bwa,bzip2,bzip2-toolfile,c-blosc,ca-certificates-mozilla,cabana,cairo,caliper,camp,canu,cardioid,casacore,catalyst,catch2,ccache,cdo,cepcsw,cereal,cfitsio,chai,charliecloud,charm,charmpp,clhep,clingo,clingo-bootstrap,cmake,cms-config,cnpy,conduit,coreutils,cp2k,cpio,cppcheck,cppunit,cray-libsci,cray-mpich,criterion-git,crystfel,cub,cubelib,cubew,cuda,cudnn,curl,cxxopts,czmq,darshan-runtime,darshan-util,datatransferkit,davix,davix-toolfile,db6-toolfile,dcap,dcap-toolfile,dd4hep,dds,dftbplus,diffutils,diy,dlib,doctest,doxygen,dray,dtcmp,dyninst,eccodes,eic,eic-smear,eicroot,eigen,ejana,elfutils,emacs,environment-modules,eqr,escalate,exonerate,expat,expat-toolfile,express,fairlogger,fairmq,fairroot,fairsoft-bundle,faodel,fastjet,fastqc,fastx-toolkit,ffmpeg,fftw,fftw3-toolfile,file,findutils,fio,flang,flatbuffers,flecsalemm-deps,flecsi,flecsi-sp,flex,flit,flowvr,flux-sched,fmt,fortrilinos,freebayes,freetype,freetype-toolfile,frontier-client,frontier-client-toolfile,ftgl,fujitsu-mpi,g4e,gasnet,gatk,gaudi,gawk,gcc,gcc-compiler-toolfile,gdal,gdb,gdbm,gdrcopy,geant4,geant4-data,genfit,geopm,geopm^py-numpy,geos,gettext,ghostscript,giflib,giflib-toolfile,ginkgo,git,git-lfs,gizmo,gizmo-deps,glib,globalarrays,glog,gmake,gmake-toolfile,gmap-gsnap,gmp,gnupg,gnuplot,gnutls,go,go-bootstrap,gobject-introspection,googletest,gotcha,gperftools,grackle,graphviz,grib-api,groff,gromacs,grpc,gsl,gsl-toolfile,gtkplus,gzip,hal,hcoll,hdf,hdf5,healpix-cxx,heffte,help2man,hepmc,hepmc3,hepnos,hepnos-dataloader,hepnos-pep-benchmark,hip,hisat2,hmmer,hpctoolkit,hpl,hpx,htop,hwloc,hydrogen,hypre,icet,imagemagick,intel,intel-mkl,intel-mpi,intel-oneapi-compilers,intel-oneapi-mkl,intel-oneapi-mpi,intel-oneapi-tbb,intel-parallel-studio,intel-tbb,ior,jana2,jansson,jellyfish,jemalloc,jq,json-c,jsoncpp,juggler,julia,kahip,kallisto,knem,kokkos,kokkos-kernels,krb5,lammps,lbann,lcio,lcov,legion,leveldb,libarchive,libbsd,libcircle,libdistributed,libdwarf,libedit,libelf,libevent,libfabric,libffi,libfuse,libgcrypt,libgpg-error,libiberty,libiconv,libjpeg,libjpeg-turbo,libjpeg-turbo-toolfile,libnl,libnrm,libpciaccess,libpmemobj-cpp,libpng,libpng-toolfile,libpressio,libpressio-opt,libpressio-tools,libquo,libsigsegv,libszip,libtiff,libtiff-toolfile,libtool,libtree,libunwind,libuuid,libx11,libxml2,libxml2-toolfile,libxp,libxslt,libxsmm,libzmq,likwid,llvm,llvm-openmp,lmdb,lmod,loki,lsf,lua,lz4,lzo,m4,magma,makedepend,masa,masurca,matlab,maven,memkind,mercurial,mercury,mesa,mesa18,metall,metis,mfem,miniasm,miniconda2,miniconda3,minimap2,mochi-abt-io,mochi-bake,mochi-bedrock,mochi-ch-placement,mochi-colza,mochi-margo,mochi-mona,mochi-remi,mochi-sdskv,mochi-sonata,mochi-ssg,mochi-thallium,motif,mpark-variant,mpi,mpich,mpifileutils,mpilander,mpip,mpt,mrnet,mumps,music,mvapich2,mypkg,nalu-wind,namd,nano,nasm,nccl,nccmp,ncdu,ncl,nco,ncurses,ncview,neovim,netcdf,netcdf-c,netcdf-cxx,netcdf-cxx4,netcdf-fortran,netlib-lapack,netlib-scalapack,ngmlr,ngstools,ninja,nlohmann-json,nlopt,node-js,npdet,nrm,nrm^python,numactl,nvhpc,nwchem,octave,odc,omega-h,opari2,openbabel,openblas,opencascade,opencv,openfast,openfoam,openfoam-org,openjdk,openjpeg,openloops,openloops-process,openloops-toolfile,openmpi,openpmd-api,openspeedshop,openssh,openssl,openssl-toolfile,oracleocci-abi-hack-cms,oracleocci-abi-hack-cms-toolfile,osu-micro-benchmarks,otf2,package1,package2,pacparser,pacparser-toolfile,paml,pango,papi,papyrus,parallel,parallel-io,parallel-netcdf,paraview,parmetis,patch,patchelf,pcre,pcre-toolfile,pcre2,pdiplugin-decl-hdf5,pdiplugin-decl-netcdf,pdiplugin-decl-sion,pdiplugin-flowvr,pdiplugin-fti,pdiplugin-mpi,pdiplugin-pycall,pdiplugin-serialize,pdiplugin-set-value,pdiplugin-trace,pdiplugin-user-code,pdsh,pdt,pear,percept,perl,petsc,pgi,phast,phist,picard,pigz,pilon,pixman,pkg-config,pkgconf,pkgconfig,plasma,plumed,pmdk,pmemkv,pmix,podio,precice,protobuf,pspline,pumi,pwgui,py-absl-py,py-argparse,py-ase,py-astor,py-attrs,py-autopep8,py-beautifulsoup4,py-biopython,py-bokeh,py-boto3,py-breathe,py-cartopy,py-cclib,py-certifi,py-cfelpyutils,py-chardet,py-cmake-format,py-configparser,py-coverage,py-cython,py-dask,py-espresso,py-extra-data,py-extra-geom,py-flake8,py-future,py-gast,py-geopandas,py-google-common,py-graphviz,py-h5py,py-horovod,py-htseq,py-idna,py-ipython,py-ipywidgets,py-jedi,py-jupyter,py-jupyterhub,py-jupyterlab,py-jupyterlab-server,py-karabo-bridge,py-keras,py-keras-applications,py-keras-preprocessing,py-ldsc-git,py-libensemble,py-libensemble^python,py-line-profiler,py-lxml,py-m2r,py-maestrowf,py-matplotlib,py-mdanalysis,py-memory-profiler,py-mochi-bake,py-mochi-margo,py-mochi-sonata,py-mochi-tmci,py-mock,py-moltemplate,py-mpi4py,py-multiqc,py-netcdf4,py-networkx,py-nose,py-numba,py-numpy,py-onnx,py-opt-einsum,py-pandas,py-petsc4py,py-phonopy,py-pillow,py-pip,py-pkgconfig,py-plotly,py-porechop,py-protobuf,py-pyarrow,py-pybind11,py-pycparser,py-pydot,py-pygments,py-pylint,py-pymol,py-pyopengl,py-pyparsing,py-pyspark,py-python-levenshtein,py-pyyaml,py-recommonmark,py-requests,py-scikit-build,py-scikit-image,py-scikit-learn,py-scikit-optimize,py-scipy,py-seaborn,py-selenium,py-setuptools,py-six,py-spdlog,py-sphinx,py-sphinx-bootstrap-theme,py-sphinx-rtd-theme,py-sphinxcontrib-bibtex,py-sphinxcontrib-programoutput,py-tensorflow,py-termcolor,py-texttable,py-theano,py-torch,py-tqdm,py-typing-extensions,py-urllib3,py-virtualenv,py-virtualenvwrapper,py-warpx,py-wheel,py-wrapt,py-xarray,py-yapf,py-yt,py-ytopt^python,pythia6,pythia8,python,python-toolfile,qbox,qhull,qmcpack,qrupdate,qt,qthreads,quantum-espresso,qwt,r,r-ape,r-argparse,r-bigmemory,r-biobase,r-biocmanager,r-caret,r-ctc,r-dendextend,r-deseq2,r-devtools,r-dexseq,r-dicekriging,r-doparallel,r-dygraphs,r-edger,r-fastcluster,r-glimma,r-gmodels,r-goplot,r-goseq,r-gplots,r-hdf5r,r-irkernel,r-janitor,r-jsonlite,r-lme4,r-mlr,r-mlrmbo,r-multtest,r-ncdf4,r-openxlsx,r-pacman,r-phangorn,r-phytools,r-quantmod,r-qvalue,r-randomforest,r-rbokeh,r-rdpack,r-remotes,r-reticulate,r-rgenoud,r-rhdf5,r-rots,r-rpostgresql,r-rstan,r-sctransform,r-seurat,r-sm,r-splitstackshape,r-sqldf,r-tidyverse,r-tximport,r-tximportdata,r-vioplot,r3broot,raja,range-v3,rclone,rdma-core,rdma-credentials,re2c,readline,relion,rempi,rivet,rmcprofile,rocfft,root,root-toolfile,rpm,rsem,rsync,ruby,salmon,samrai,samtools,sbt,scons,scorep,scotch,scr,scram,screen,sensei,shengbte,silo,sirius,slate,slatec,slepc,slurm,snappy,snpeff,sombrero,spark,spdlog,spectrum-mpi,sqlite,sqlite-toolfile,squashfs,squashfuse,stacks,star,stc,stow,strace,stream,strumpack,subread,subversion,suite-sparse,sundials,superlu,superlu-dist,superlu-mt,swig,sz,szip,tabix,tar,tasmanian,tau,tcl,tclap,texinfo,texlive,tioga,tk,tmux,tree,trilinos,trimmomatic,trinity,tuning-playground,turbine,turbovnc,ucx,umap,umpire,unifyfs,unzip,upcxx,util-linux-uuid,util-macros,uuid,valgrind,vcftools,veloc,vesta,vgm,vim,vmd,vtk,vtk-h,vtk-m,wcslib,wget,works,wxwidgets,xbraid,xedit,xerces-c,xgc1,xlc,xlf,xrootd,xrootd-toolfile,xsdk,xz,xz-toolfile,yaml-cpp,yarn,zeromq,zfp,zip,zlib,zlib-toolfile,zoltan,zsh,zstd,zstd-toolfile
..,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acts,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04428074427700476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009419303165005125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018439642112147228,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04428074427700476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010846522890932807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009153917273018163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017323973216880926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
